original_column_name,column_name,column_description,data_format,value_description
id,,the unique identifier of the alert,integer,
transaction_id,transaction id,the id of the suspicious transaction,integer,Maps to transaction(id)
alert_type_id,alert type id,the type of alert,integer,Maps to alert_type(id)
risk_score,risk score,the calculated risk score of the alert,integer,"commonsense evidence:
Risk score ranges from 0 to 100. Higher scores indicate higher risk. Scores above 70 typically require immediate investigation."
alert_date,alert date,the date when the alert was generated,datetime,Format: YYYY-MM-DD HH:MM:SS
alert_status_id,alert status id,the current status of the alert,integer,Maps to alert_status(id)
assigned_to,assigned to,the analyst assigned to investigate,text,
investigation_notes,investigation notes,notes from the investigation,text,
resolution_date,resolution date,the date when the alert was resolved,datetime,"Format: YYYY-MM-DD HH:MM:SS
NULL if not yet resolved"
sar_filed,SAR filed,whether a Suspicious Activity Report was filed,boolean,"commonsense evidence:
1 means SAR was filed with authorities, 0 means no SAR filed"
